Creek_3_scaffold_6149_c1	Creek_3_scaffold_6149_c1_1	AXH74306_1	31.5	260	148	7	5	264	12	241	5.58e-28	119	265	285	AXH74306_1 putative viral replication protein [Circoviridae sp.]	1954248	Circoviridae sp.	Cressdnaviricota	Shotokuvirae	Viruses
Creek_3_scaffold_6149_c1	Creek_3_scaffold_6149_c1_1	AXH77474_1	31.4	261	137	9	4	264	12	230	5.02e-25	112	265	307	AXH77474_1 helicase [CRESS virus sp.]	2202563	CRESS virus sp.	Cressdnaviricota	Shotokuvirae	Viruses
Creek_3_scaffold_6149_c1	Creek_3_scaffold_6149_c1_1	GAC77836_1	33.6	256	129	10	10	261	9	227	9.98e-25	110	265	274	GAC77836_1 replication protein, partial [uncultured marine virus]	186617	uncultured marine virus	0	0	Viruses
Creek_3_scaffold_6149_c1	Creek_3_scaffold_6149_c1_1	UBJ25922_1	30.0	280	137	12	6	264	4	245	3.83e-24	110	265	328	UBJ25922_1 replication-associated protein [Red panda feces-associated circular DNA virus 8]	2863983	Red panda feces-associated circular DNA virus 8	Cressdnaviricota	Shotokuvirae	Viruses
Creek_3_scaffold_6149_c1	Creek_3_scaffold_6149_c1_1	UBJ26257_1	30.0	280	137	12	6	264	4	245	3.83e-24	110	265	328	UBJ26257_1 replication-associated protein [Giant panda feces-associated circular DNA virus]	2863989	Giant panda feces-associated circular DNA virus	Cressdnaviricota	Shotokuvirae	Viruses
Creek_3_scaffold_6149_c1	Creek_3_scaffold_6149_c1_1	QDJ95231_1	30.9	265	139	10	11	264	10	241	9.81e-24	108	265	325	QDJ95231_1 replication-associated protein [Capybara virus 12_cap1_103]	2585039	Capybara virus 12_cap1_103	0	0	Viruses
Creek_3_scaffold_6149_c1	Creek_3_scaffold_6149_c1_1	UOF78168_1	32.5	243	127	6	30	264	34	247	5.68e-23	108	265	434	UOF78168_1 rep protein [CRESS virus sp.]	2202563	CRESS virus sp.	Cressdnaviricota	Shotokuvirae	Viruses
Creek_3_scaffold_6149_c1	Creek_3_scaffold_6149_c1_1	UBJ25962_1	32.5	277	134	13	6	264	4	245	1.10e-22	106	265	332	UBJ25962_1 replication-associated protein [Sichuan rat gut-associated circular DNA virus 3]	2863988	Sichuan rat gut-associated circular DNA virus 3	Cressdnaviricota	Shotokuvirae	Viruses
Creek_3_scaffold_6149_c1	Creek_3_scaffold_6149_c1_1	UNI72387_1	30.7	267	138	11	8	264	6	235	2.14e-22	105	265	312	UNI72387_1 replication associated protein [Chaetfec virus UA24_7381]	2914474	Chaetfec virus UA24_7381	Cressdnaviricota	Shotokuvirae	Viruses
Creek_3_scaffold_6149_c1	Creek_3_scaffold_6149_c1_1	AUM61805_1	35.0	266	130	12	1	264	1	225	7.60e-22	103	265	290	AUM61805_1 Rep [uncultured virus]	340016	uncultured virus	0	0	Viruses
Creek_3_scaffold_6149_c1	Creek_3_scaffold_6149_c1_1	AUM61711_1	32.6	261	143	9	11	264	6	240	1.41e-21	103	265	349	AUM61711_1 Rep [uncultured virus]	340016	uncultured virus	0	0	Viruses
Creek_3_scaffold_6149_c1	Creek_3_scaffold_6149_c1_1	QXP07868_1	33.5	236	119	7	32	264	32	232	2.20e-21	102	265	294	QXP07868_1 replication associated protein [Arizlama virus]	2859451	Arizlama virus	Cressdnaviricota	Shotokuvirae	Viruses
Creek_3_scaffold_6149_c1	Creek_3_scaffold_6149_c1_1	AYP28878_1	33.2	277	148	13	4	264	1	256	6.52e-21	101	265	320	AYP28878_1 putative viral replication protein [Circoviridae sp.]	1954248	Circoviridae sp.	Cressdnaviricota	Shotokuvirae	Viruses
